EDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1987-1-2,39,37,35,32,32,32,89,84,73,29.30,29.28,29.25,2,1,1,34,31,46,0.00,8,Fog-Rain-Snow,60
1987-1-4,33,,33,32,32,32,96,96,96,30.15,30.13,30.11,10,10,10,12,11,,0.00,3,,345
1987-1-5,37,,37,32,32,32,79,79,79,30.19,30.19,30.19,10,10,10,14,12,,0.00,0,,30
1987-1-6,37,,37,32,32,32,79,79,79,30.13,30.13,30.13,10,10,10,17,17,,0.00,6,,240
1987-1-7,39,39,39,32,32,32,76,75,73,29.82,29.64,29.52,10,8,7,16,13,,0.00,7,,260
1987-1-9,36,,36,32,32,32,86,86,86,30.02,30.02,30.01,10,10,10,16,16,,0.00,3,,330
1987-1-10,36,34,34,32,32,32,92,89,86,30.11,30.04,29.97,7,6,6,16,9,,0.00,8,Snow,150
1987-1-11,32,32,32,32,32,32,100,100,100,29.00,28.98,28.95,6,3,1,17,17,,0.00,8,Fog-Snow,345
1987-1-12,36,35,35,33,32,32,92,89,86,29.32,29.30,29.29,10,9,7,17,16,29,0.00,5,,300
1987-1-13,32,,32,32,32,32,100,100,100,29.60,29.60,29.60,10,10,10,14,14,,0.00,3,,180
1987-1-14,44,40,37,32,32,32,79,70,63,29.90,29.83,29.78,10,10,10,17,12,28,0.00,6,,245
1987-1-15,48,38,35,35,33,32,100,74,52,29.77,29.73,29.70,7,6,3,9,5,,0.00,7,Fog-Rain,260
1987-1-16,39,,39,32,32,32,73,73,73,30.09,30.09,30.09,10,10,10,14,14,,0.00,6,,180
1987-1-17,,,,,,,,,,30.35,30.34,30.33,10,10,10,17,16,,0.00,0,,23
1987-1-18,,,,,,,,,,30.20,30.20,30.20,10,10,10,9,9,,0.00,8,,150
1987-1-19,,,,,,,,,,29.85,29.53,28.74,7,6,3,12,10,,0.00,8,,38
1987-1-20,,,,,,,,,,29.93,29.93,29.93,7,7,7,12,12,,0.00,3,,180
1987-1-21,,,,,,,,,,29.97,29.97,29.97,10,10,10,17,17,,0.00,6,,180
1987-1-22,32,,32,32,32,32,100,100,100,29.64,29.64,29.64,0,0,0,14,14,,0.00,8,Fog-Snow,150
1987-1-23,36,35,35,32,32,32,89,88,86,29.31,29.30,29.29,10,10,10,21,21,29,0.00,3,,270
1987-1-24,,,,,,,,,,29.85,29.83,29.80,10,10,10,23,22,34,0.00,0,,270
1987-1-25,,,,,,,,,,30.17,30.17,30.17,10,10,10,17,17,,0.00,0,,330
1987-1-26,,,,,,,,,,29.88,29.88,29.88,0,0,0,29,29,40,0.00,,,60
1987-1-29,,,,,,,,,,30.10,30.10,30.09,10,8,7,14,11,,0.00,0,,340
1987-1-30,,,,,,,,,,30.02,29.87,29.78,7,3,0,17,7,25,0.00,8,,150
1987-1-31,,,,,,,,,,29.36,29.36,29.36,1,1,1,23,23,34,0.00,8,,180
1987-2-2,37,,37,32,32,32,79,79,79,29.68,29.68,29.68,10,10,10,12,12,,0.00,4,,300
1987-2-5,,,,,,,,,,30.30,30.28,30.25,10,10,10,23,21,34,0.00,0,,180
1987-2-7,43,34,34,32,32,32,92,78,65,29.87,29.84,29.80,10,10,10,9,8,,0.00,4,,240
1987-2-8,42,38,36,32,32,32,86,74,67,29.67,29.64,29.60,10,10,10,14,3,,0.00,5,,240
1987-2-9,33,33,32,32,32,32,100,98,96,29.54,29.51,29.48,6,3,1,21,18,32,0.00,8,Rain-Snow,60
1987-2-11,32,,32,32,32,32,100,100,100,29.88,29.85,29.82,10,10,10,23,19,34,0.00,0,,311
1987-2-12,,,,,,,,,,29.81,29.81,29.81,10,10,10,14,14,,0.00,8,,180
1987-2-13,,,,,,,,,,29.69,29.68,29.67,10,10,10,23,21,34,0.00,2,,180
1987-2-14,,,,,,,,,,29.95,29.95,29.95,10,10,10,14,14,,0.00,0,,180
1987-2-15,,,,,,,,,,30.00,29.97,29.94,10,10,10,21,21,29,0.00,0,,180
1987-2-16,37,34,34,32,32,32,92,87,82,30.06,30.05,30.04,10,10,10,14,13,,0.00,2,,300
1987-2-17,41,,41,32,32,32,70,70,70,29.99,29.97,29.95,10,10,10,7,7,,0.00,2,,60
1987-2-20,,,,,,,,,,30.22,30.21,30.20,10,10,10,21,18,32,0.00,0,,345
1987-2-21,36,,36,32,32,32,86,86,86,30.01,30.01,30.00,10,10,10,23,19,,0.00,0,,180
1987-2-22,39,37,37,32,32,32,79,76,73,30.05,30.04,30.02,10,10,10,14,13,,0.00,0,,345
1987-2-23,,,,,,,,,,29.60,29.57,29.53,7,2,0,21,19,,0.00,8,,46
1987-2-24,34,,34,32,32,32,92,92,92,29.95,29.95,29.95,10,10,10,17,17,,0.00,0,,180
1987-2-25,,,,,,,,,,30.18,30.18,30.18,10,10,10,17,17,28,0.00,0,,180
1987-2-26,37,34,34,32,32,32,92,87,82,30.38,30.37,30.36,10,10,10,14,12,,0.00,2,,50
1987-2-27,35,,35,32,32,32,89,89,89,30.50,30.50,30.50,10,10,10,6,6,,0.00,3,,60
1987-2-28,43,36,36,32,32,32,86,76,65,30.41,30.39,30.38,10,10,10,7,6,,0.00,4,,255
1987-3-1,37,37,36,32,32,32,86,84,82,29.94,29.81,29.68,3,2,1,17,13,34,0.00,8,Fog-Rain,90
1987-3-2,32,32,32,32,32,32,100,100,100,29.60,29.58,29.55,7,5,3,9,8,,0.00,8,Snow,67
1987-3-3,41,36,36,32,32,32,86,78,70,30.03,29.99,29.96,10,10,10,9,3,,0.00,6,,45
1987-3-4,33,,33,32,32,32,96,96,96,30.33,30.32,30.32,10,10,10,9,9,,0.00,2,,45
1987-3-5,,,,,,,,,,30.41,30.41,30.40,10,10,10,12,8,,0.00,2,,30
1987-3-7,55,48,48,32,32,32,54,48,42,30.13,30.10,30.08,10,10,10,0,0,,0.00,3,,-1
1987-3-9,43,43,39,32,32,32,76,70,65,29.63,29.61,29.59,10,8,5,17,12,,0.00,8,Fog,45
1987-3-10,,,,,,,,,,30.25,30.23,30.22,10,10,10,23,23,34,0.00,3,,60
1987-3-11,,,,,,,,,,30.47,30.46,30.45,10,8,5,18,18,28,0.00,6,,60
1987-3-12,37,,37,32,32,32,82,82,82,30.33,30.33,30.33,10,10,10,14,14,,0.00,8,,90
1987-3-13,34,32,32,32,32,32,100,96,92,30.20,30.17,30.15,7,4,1,16,15,25,0.00,8,Snow,90
1987-3-14,34,34,32,32,32,32,100,96,92,30.08,30.07,30.06,10,8,5,21,17,28,0.00,8,Snow,60
1987-3-16,34,32,32,32,32,32,100,96,92,30.16,30.13,30.11,10,10,10,14,11,,0.00,6,,45
1987-3-17,34,34,34,32,32,32,92,92,92,29.95,29.94,29.92,10,8,4,17,16,25,0.00,8,Snow,180
1987-3-18,39,36,36,32,32,32,86,81,76,30.02,30.02,30.02,10,10,10,21,18,30,0.00,7,,60
1987-3-19,39,37,35,32,32,32,89,78,73,29.85,29.82,29.79,10,9,7,14,13,,0.00,5,,51
1987-3-20,39,38,36,32,32,32,86,80,76,29.76,29.75,29.75,10,8,7,17,14,,0.00,7,,53
1987-3-21,37,34,34,32,32,32,92,86,79,29.68,29.68,29.67,7,6,6,14,14,23,0.00,8,Snow,60
1987-3-22,39,34,34,32,32,32,92,84,76,29.86,29.84,29.82,10,8,6,17,17,34,0.00,8,,60
1987-3-23,,,,,,,,,,30.04,30.04,30.04,7,7,7,17,17,34,0.00,8,,60
1987-3-26,50,48,46,32,32,32,56,52,50,29.97,29.87,29.80,7,3,0,17,14,,0.00,8,Fog-Rain,230
1987-3-27,62,52,48,32,32,32,54,42,32,30.01,30.00,29.98,10,9,7,17,9,25,0.00,2,,221
1987-3-28,44,44,44,32,32,32,63,63,63,29.99,29.97,29.93,6,4,1,17,8,,0.00,8,Fog-Rain,80
1987-4-4,55,,55,32,32,32,42,42,42,30.10,30.05,29.96,7,6,5,23,20,40,0.00,8,Fog-Rain,150
1987-4-5,45,,45,32,32,32,60,60,60,29.87,29.87,29.87,1,1,1,17,17,29,0.00,8,Fog-Rain,120
1987-4-6,42,41,41,32,32,32,70,68,67,29.71,29.70,29.68,5,3,0,12,10,,0.00,8,Fog,45
1987-4-7,39,,39,32,32,32,73,73,73,29.45,29.45,29.45,7,7,7,6,6,,0.00,8,,60
1987-4-8,41,,41,32,32,32,70,70,70,29.60,29.60,29.60,2,2,2,6,6,,0.00,8,Fog,60
1987-4-13,37,37,35,32,32,32,89,86,82,29.95,29.94,29.92,6,6,6,29,27,46,0.00,8,Fog-Rain-Snow,60
1987-4-15,53,,53,32,32,32,45,45,45,30.19,30.19,30.19,10,10,10,9,9,,0.00,6,,90
1987-4-18,55,,55,32,32,32,40,40,40,29.97,29.97,29.97,0,0,0,4,4,,0.00,,Fog,150
1987-4-19,61,,61,32,32,32,34,34,34,30.12,30.12,30.12,7,7,7,12,12,,0.00,8,,60
1987-4-20,46,,46,32,32,32,56,56,56,30.19,30.19,30.19,0,0,0,12,12,,0.00,,Fog,60
1987-4-21,57,48,48,32,32,32,54,46,39,30.12,30.11,30.09,3,2,0,9,9,,0.00,6,Fog,75
1987-4-22,46,46,46,32,32,32,58,57,56,30.17,30.14,30.10,7,7,7,23,23,34,0.00,8,,90
1987-4-23,44,43,43,32,32,32,65,64,63,30.25,30.21,30.16,10,6,2,9,8,,0.00,8,Fog,80
1987-4-24,59,55,55,32,32,32,42,39,36,29.99,29.99,29.99,2,2,1,0,0,,0.00,8,Fog,-1
1987-4-26,50,46,46,32,32,32,58,54,50,30.31,30.30,30.30,7,7,7,17,16,29,0.00,2,,80
1987-4-28,39,39,39,32,32,32,73,73,73,30.02,29.98,29.94,7,6,5,23,20,,0.00,8,Fog-Rain,90
1987-4-29,54,44,44,32,32,32,63,53,43,29.54,29.49,29.45,10,10,10,23,20,,0.00,7,,300
1987-4-30,48,,48,32,32,32,54,54,54,29.40,29.40,29.40,10,10,10,23,23,34,0.00,6,,330
1987-5-6,48,48,48,32,32,32,54,53,52,29.88,29.86,29.84,7,6,4,12,10,,0.00,8,Fog,250
1987-5-9,64,,64,32,32,32,30,30,30,29.98,29.98,29.98,10,10,10,21,21,,0.00,6,,330
1987-5-12,73,73,64,32,32,32,29,26,22,29.91,29.88,29.85,6,6,5,12,7,,0.00,8,Rain,300
1987-5-22,68,,68,32,32,32,26,26,26,30.24,30.24,30.24,10,10,10,17,17,,0.00,6,,240
1987-5-24,50,,50,32,32,32,50,50,50,30.16,30.16,30.16,7,7,7,9,9,,0.00,8,,60
1987-7-12,73,,73,32,32,32,21,21,21,29.93,29.93,29.93,1,1,1,14,14,,0.00,8,Fog,260
1987-9-4,54,,54,32,32,32,43,43,43,30.37,30.37,30.37,15,15,15,7,7,,0.00,0,,180
